Nombre,KICK Link,Platafroma donde transmitirá,CCV ultimos 30 días de su plataforma principal,Kick Partner (Check si lo necesita),Status Kick Partner,CONFIRMADO,ANUNCIADO,DENTRO DEL DISCORD
El Ded,https://kick.com/elded/,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
Jilikat,https://kick.com/jilikat,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
La parce,https://kick.com/laparce,Kick,635,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
BarcaGamer,https://kick.com/barcagamer,Kick,319,FALSE,ACTIVADO,Confirmado,TRUE,FALSE
dobla2_oficial,https://kick.com/dobla2,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
tattoxtremeyt,https://kick.com/tattoxtremeyt,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Samulx,https://kick.com/samulx,Kick,8.924,FALSE,ACTIVADO,Confirmado,TRUE,FALSE
Pelicanger,https://kick.com/pelicanger,Kick,1.559,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
El Muñe,https://kick.com/elmune,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
topmaniass,https://kick.com/topmaniass,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
SandraSkins,https://kick.com/sandraskins,Kick,6.357,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Ansichan,https://kick.com/ansichan,Pendiente,,FALSE,Pendiente,Confirmado,TRUE,TRUE
Shadoune,https://kick.com/shadoune666,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
Thenino,https://kick.com/thenino,Kick,2.484,FALSE,ACTIVADO,Confirmado,TRUE,FALSE
Milica,https://kick.com/milica,Kick,3.238,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
siendokam,https://kick.com/siendokam,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
JH,https://kick.com/jhdelacruz777,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Caresapo,https://kick.com/caresapo,Kick,455,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
reydelacity,https://kick.com/reydelacity,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
andylivesx,https://kick.com/andylivesx,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
lebriah,https://kick.com/lebriah,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Fernandavaal,https://kick.com/fernandavaal,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Daren,https://kick.com/therealdaren,Kick,2.055,FALSE,ACTIVADO,Confirmado,TRUE,FALSE
serpias,https://kick.com/serpias,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Andresitow,https://kick.com/andresoskyyy,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
Terceoo,https://kick.com/terceoo,Kick,10.393,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
editsdemierda,https://kick.com/editsdemierda,Kick,76.213,FALSO,ACTIVADO,Confirmado,TRUE,TRUE
2ombiegirl,https://kick.com/2ombieGirl,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Sayguz,https://kick.com/say_guz,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
El Guty,https://kick.com/elgutyy,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Smash,https://kick.com/smashdota,Kick,1.785,TRUE,Pendiente,Confirmado,TRUE,TRUE
ElYeremias,https://kick.com/elyeremias,Kick,2.215,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Colvalencia,https://kick.com/colvalencia20,Kick,2.126,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Pablots,https://kick.com/jpablots,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Ryumi,https://kick.com/ryumivt,Kick,405,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Nesszv,https://kick.com/nesszv,Kick,726,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Collazos,https://kick.com/coll4zos,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
ElShark,https://kick.com/elshark,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Camiona,https://kick.com/camiona,Kick,16,TRUE,Pendiente,Confirmado,TRUE,TRUE
Laura Tula,https://kick.com/lauratula,Kick,39,TRUE,Pendiente,Confirmado,TRUE,TRUE
IsaRockets,https://kick.com/isarockets,Kick,132,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Hernie,https://kick.com/hernie,Kick,23,TRUE,Pendiente,Confirmado,TRUE,TRUE
Satturnpower,https://kick.com/satturnpower,Kick,44,TRUE,Pendiente,Confirmado,TRUE,TRUE
JCrack,https://kick.com/jcrack,Kick,202,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Justmar,https://kick.com/justmar11,Kick,19,TRUE,Pendiente,Confirmado,TRUE,TRUE
xcamorex,https://kick.com/xcamorex,Kick,74,TRUE,Pendiente,Confirmado,TRUE,TRUE
Tommycat,https://kick.com/tomycatt,Kick,139,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
LaOtaCosteña,https://kick.com/laotacostena,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Midzui,https://kick.com/midzui,Kick,28,TRUE,Pendiente,Confirmado,TRUE,TRUE
Nebu_lst,https://kick.com/nebu_lst,Kick,617,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Kiannyvv,https://www.twitch.tv/kiannyvv,Kick,190,TRUE,Pendiente,Confirmado,TRUE,TRUE
Playhades,https://kick.com/playhades,Kick,74,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Thuunderr,https://kick.com/thuunderr,Kick,12,TRUE,Pendiente,Confirmado,TRUE,TRUE
ElAbuelitoo,https://kick.com/elabuelitoo,Kick,107,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Falex,https://kick.com/soyfalex,Kick,416,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
sylzencita,https://kick.com/sylzencita,Kick,18,TRUE,Pendiente,Confirmado,TRUE,TRUE
rexito_25,https://kick.com/rexito-25,Kick,10,TRUE,Pendiente,Confirmado,TRUE,TRUE
inlaezz,https://kick.com/inlaezz,Kick,229,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Belgrid,https://kick.com/belgrid,Kick,27,TRUE,Pendiente,Confirmado,TRUE,TRUE
ElBeta,https://kick.com/elbetaoficial,Kick,30,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
minimird,https://kick.com/minimird,Kick,41,TRUE,Pendiente,Confirmado,TRUE,TRUE
danigameryt,https://kick.com/danigameryt,Kick,64,TRUE,Pendiente,Confirmado,TRUE,TRUE
Katandre,https://kick.com/kathandre,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Mcamilaa,https://www.twitch.tv/mcamila__,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Usita1276,https://www.twitch.tv/usita1276,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
niikasauria,https://kick.com/niikasauria,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
elmajjoma,https://kick.com/majjoma,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
jessy_baby99,https://kick.com/jessybaby9,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
alemiyuu,https://kick.com/alemiyu,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
dianneriivera,https://kick.com/dianneriivera,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
manuphilie,https://kick.com/manuphilie,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
elpipebro,https://kick.com/elpipebro,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Pesque,https://kick.com/Pesque,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
Luisito Salchicha,https://kick.com/luisitosalchicha,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
ann1ed,https://kick.com/ann1ed,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
DarkMike7,https://kick.com/darkmike7,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
SoyXSonic,https://kick.com/soyxsonic,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
rubynavx,https://kick.com/rubynavx,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
soysevita,https://kick.com/soysevita,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
thealex30,https://kick.com/thealex30,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
mechslol,https://kick.com/mechslol,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
soyJosema,https://kick.com/soyJosema,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
HeyPriss,https://kick.com/HeyPriss,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
SandraTV,https://kick.com/SandraTV,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
oredreim,https://kick.com/oredreim,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Rakkun,https://kick.com/Rakkun,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
elgusaa,https://kick.com/elgusaa,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
itsmidna,https://kick.com/itsmidna,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
elzetatv,https://kick.com/elzetatv,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
zlothric,https://kick.com/zlothric,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
eypiedra,https://kick.com/eypiedra,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
soyfrezo,https://kick.com/soyfrezo,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
kino007,https://kick.com/kino007,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
betzteve,https://kick.com/betzteve,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
issa-aleman,https://kick.com/issa-aleman,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
mikupinku,https://kick.com/mikupinku,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
adalokumura,https://kick.com/adalokumura,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
diffrent,https://kick.com/diffrent,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
andresgamerlive,https://kick.com/andresgamerlive,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
soyalejook,https://kick.com/soyalejook,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
puxqh,https://kick.com/puxqh,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
kmoonarmy,https://kick.com/kmoonarmy,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
ssierrad,https://kick.com/ssierrad,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
aftermandy,https://kick.com/aftermandy,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
castayt,https://kick.com/castayt,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
seyphef,https://kick.com/seyphef,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
juanjo1026,https://kick.com/juanjo1026,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
el_ne_mai,https://kick.com/el_ne_mai,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
elsolaaa,https://kick.com/elsolaaa,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
elvilloso,https://kick.com/elvilloso,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
valenpeach,https://kick.com/valenpeach,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
Marigosh77,https://kick.com/Marigosh77,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
erreache,https://kick.com/erreache,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
kit-zen,https://kick.com/kit-zen,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
ElRojo,https://kick.com/elrojo,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
garayst,https://kick.com/garayst,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
basstian_77,https://kick.com/basstian_77,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,TRUE
juanpo-levelup,https://kick.com/juanpo-levelup,Kick,,TRUE,Pendiente,Confirmado,TRUE,TRUE
CarloGato,https://kick.com/CarloGato,Kick,,FALSE,ACTIVADO,Confirmado,TRUE,FALSE
Dannyled,https://kick.com/dannyled,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
mrporo,https://kick.com/mrporo,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
gramajodb,https://kick.com/gramajodb,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
alejandroreport,https://kick.com/alejandroreport,Kick,,FALSE,Pendiente,Confirmado,TRUE,TRUE
sugarser0,https://kick.com/sugar_ser0o,Pendiente,,FALSE,Pendiente,Confirmado,TRUE,TRUE
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,Pendiente,,FALSE,Pendiente,,,
,,,,,,,,
,,,,,,,,
SUPLENCIA,,,,,,,,
Migsh,https://kick.com/Migsh,,,,,,,TRUE
flortamayoo,https://kick.com/flortamayo,,,,,,,TRUE
Byroxanny,https://kick.com/roxanny,,,,,,,TRUE
tebastv,https://kick.com/tebastv,,,,,,,TRUE
eldomi,https://kick.com/eldomi,,,,,,,TRUE
karenngo,https://kick.com/karenngo,,,,,,,TRUE
alicefuu,https://kick.com/alicefuu,,,,,,,TRUE
gavyriashow,https://kick.com/gavyriashow,,,,,,,TRUE
,,,,,,,,
soypiini,https://kick.com/soypiini,,,,,,,TRUE
estebanmarin,https://kick.com/estebanmarin,,,,,,,TRUE
rusiouwu,https://kick.com/rusiouwu,,,,,,,TRUE
pana-rabbids,https://kick.com/pana-rabbids,,,,,,,TRUE
NGRIITOON,https://kick.com/NGRIITOON,,,,,,,TRUE
alejandrosss01,https://kick.com/alejandrosss01,,,,,,,TRUE
joalfy,https://kick.com/joalfy,,,,,,,TRUE
araxxdj,https://kick.com/araxxdj,,,,,,,TRUE
,,,,,,,,
Andresiitox,https://kick.com/Andresiitox,,,,,,,TRUE
sr-erickmc,https://kick.com/sr-erickmc,,,,,,,TRUE
shakotsuvt,https://www.twitch.tv/shakotsu_vt,,,,,,,TRUE
codejuanma,https://kick.com/isjuanma,,,,,,,TRUE
Panuan,https://kick.com/panuan,,,,,,,TRUE